No. of hidden layers          No. of nodes per layer       Accuracy
2                                    3                       100%
2                                    4                       100%
2                                    5                       100%
2                                    6                       100%
2                                    7                       100%
2                                    8                       100%
2                                    9                       100%
2                                    10                      100%
3                                    3                       100%
3                                    4                       100%
3                                    5                       100%
3                                    6                       100%
3                                    7                       100%
3                                    8                       100%
3                                    9                       100%
3                                    10                      100%
4                                    3                       100%
4                                    4                       100%
4                                    5                       100%
4                                    6                       100%
4                                    7                       100%
4                                    8                       100%
4                                    9                       100%
4                                    10                      100%
5                                    3                       100%
5                                    4                       100%
5                                    5                       100%
5                                    6                       100%
5                                    7                       100%
5                                    8                       100%
5                                    9                       100%
5                                    10                      100%
6                                    3                       100%
6                                    4                       100%
6                                    5                       100%
6                                    6                       100%
6                                    7                       100%
6                                    8                       100%
6                                    9                       100%
6                                    10                      100%
